date,Retail Sales Index 
1-Jan-00,63.61
1-Feb-00,61.44
1-Mar-00,71.33
1-Apr-00,61.36
1-May-00,68.05
1-Jun-00,66.57
1-Jul-00,64.72
1-Aug-00,68.45
1-Sep-00,69.12
1-Oct-00,67.78
1-Nov-00,70.59
1-Dec-00,76.48
1-Jan-01,79.29
1-Feb-01,78.34
1-Mar-01,88.38
1-Apr-01,82.44
1-May-01,88.19
1-Jun-01,87.49
1-Jul-01,85.76
1-Aug-01,86.06
1-Sep-01,83.49
1-Oct-01,86.76
1-Nov-01,90.75
1-Dec-01,95.9
1-Jan-02,91.8
1-Feb-02,86.1
1-Mar-02,101.24
1-Apr-02,95.98
1-May-02,100.15
1-Jun-02,97.06
1-Jul-02,99.89
1-Aug-02,103.49
1-Sep-02,101.47
1-Oct-02,104.46
1-Nov-02,104
1-Dec-02,114.39
1-Jan-03,107.67
1-Feb-03,101.74
1-Mar-03,116.94
1-Apr-03,108.16
1-May-03,113.12
1-Jun-03,110.97
1-Jul-03,115.62
1-Aug-03,112.56
1-Sep-03,117.34
1-Oct-03,120.18
1-Nov-03,117.36
1-Dec-03,139.69
1-Jan-04,122.54
1-Feb-04,125.08
1-Mar-04,138.84
1-Apr-04,126.52
1-May-04,130.95
1-Jun-04,131.06
1-Jul-04,135.38
1-Aug-04,131.71
1-Sep-04,139.17
1-Oct-04,141.76
1-Nov-04,143.85
1-Dec-04,157.9
1-Jan-05,141.42
1-Feb-05,133.91
1-Mar-05,161.69
1-Apr-05,140.1
1-May-05,149.71
1-Jun-05,151.8
1-Jul-05,142.4
1-Aug-05,146.46
1-Sep-05,149.22
1-Oct-05,145.82
1-Nov-05,150.08
1-Dec-05,164.16
1-Jan-06,147.36
1-Feb-06,174.75
1-Mar-06,169.15
1-Apr-06,142.83
1-May-06,157.95
1-Jun-06,151.9
1-Jul-06,146.16
1-Aug-06,152.34
1-Sep-06,152.41
1-Oct-06,148.97
1-Nov-06,152.96
1-Dec-06,162.46
1-Jan-07,148.02
1-Feb-07,143.88
1-Mar-07,166.75
1-Apr-07,145.03
1-May-07,153.77
1-Jun-07,156.12
1-Jul-07,152.54
1-Aug-07,160.94
1-Sep-07,157.58
1-Oct-07,166.41
1-Nov-07,170.91
1-Dec-07,168.4
1-Jan-08,167.42
1-Feb-08,162.08
1-Mar-08,183.93
1-Apr-08,158.25
1-May-08,170.67
1-Jun-08,165.38
1-Jul-08,161.72
1-Aug-08,165.35
1-Sep-08,160.75
1-Oct-08,158.2
1-Nov-08,146.28
1-Dec-08,158.6
1-Jan-09,139.83
1-Feb-09,135.84
1-Mar-09,149.44
1-Apr-09,136.32
1-May-09,145.06
1-Jun-09,152.12
1-Jul-09,148.36
1-Aug-09,153.5
1-Sep-09,157.18
1-Oct-09,164.21
1-Nov-09,165.93
1-Dec-09,185.74
1-Jan-10,166.61
1-Feb-10,167.1
1-Mar-10,191.37
1-Apr-10,164.58
1-May-10,170.16
1-Jun-10,182.11
1-Jul-10,179.23
1-Aug-10,175.93
1-Sep-10,178.62
1-Oct-10,178.45
1-Nov-10,186.39
1-Dec-10,206.3
1-Jan-11,187.41
1-Feb-11,184.14
1-Mar-11,211.82
1-Apr-11,174.93
1-May-11,180.81
1-Jun-11,193.41
1-Jul-11,190.63
1-Aug-11,200.16
1-Sep-11,201
1-Oct-11,164.01
1-Nov-11,151.89
1-Dec-11,195.34
1-Jan-12,193.62
1-Feb-12,208.93
1-Mar-12,228.13
1-Apr-12,196.03
1-May-12,225
1-Jun-12,220.72
1-Jul-12,224.21
1-Aug-12,225.15
1-Sep-12,228.1
1-Oct-12,228.73
1-Nov-12,232.69
1-Dec-12,238.1
JAN 2013 r,228.66
FEB 2013 r,218.86
MAR 2013 r,246.08
APR 2013 r,210.46
MAY 2013 r,229.36
JUN 2013 r,220.04
JUL 2013 r,214.47
AUG 2013 r,215.39
SEP 2013 r,210.89
OCT 2013 r,208.36
NOV 2013 r,210.34
DEC 2013 r,225.02
JAN 2014 r,206.06
FEB 2014 r,200.76
MAR 2014 r,224.94
APR 2014 r,196.07
MAY 2014 r,208.49
JUN 2014 r,204.83
JUL 2014 r,202.88
AUG 2014 r,197.89
SEP 2014 r,209.02
OCT 2014 r,204.65
NOV 2014 r,200.34
DEC 2014 r,229.04
1-Jan-15,200.8
1-Feb-15,197.76
1-Mar-15,218.99
1-Apr-15,193.43
1-May-15,199.66
1-Jun-15,206.95
1-Jul-15,203.07
1-Aug-15,201.04
1-Sep-15,204.72
1-Oct-15,207.86
1-Nov-15,210.7
1-Dec-15,239.91
1-Jan-16,200.8
1-Feb-16,206.97
1-Mar-16,232.01
Q1/2000 ,65.46
Q2/2000 ,65.33
Q3/2000 ,67.43
Q4/2000 ,71.62
Q1/2001 ,82
Q2/2001 ,86.04
Q3/2001 ,85.1
Q4/2001 ,91.14
Q1/2002 ,93.05
Q2/2002 ,97.73
Q3/2002 ,101.62
Q4/2002 ,107.62
Q1/2003 ,108.78
Q2/2003 ,110.75
Q3/2003 ,115.17
Q4/2003 ,125.74
Q1/2004 ,128.82
Q2/2004 ,129.51
Q3/2004 ,135.42
Q4/2004 ,147.84
Q1/2005 ,145.67
Q2/2005 ,147.2
Q3/2005 ,146.03
Q4/2005 ,153.35
Q1/2006 ,163.75
Q2/2006 ,150.89
Q3/2006 ,150.3
Q4/2006 ,154.8
Q1/2007 ,152.88
Q2/2007 ,151.64
Q3/2007 ,157.02
Q4/2007 ,168.57
Q1/2008 ,171.14
Q2/2008 ,164.77
Q3/2008 ,162.61
Q4/2008 ,154.36
Q1/2009 ,141.7
Q2/2009 ,144.5
Q3/2009 ,153.01
Q4/2009 ,171.96
Q1/2010 ,175.03
Q2/2010 ,172.28
Q3/2010 ,177.93
Q4/2010 ,190.38
Q1/2011 ,194.46
Q2/2011 ,183.05
Q3/2011 ,197.26
Q4/2011 ,170.41
Q1/2012 ,210.23
Q2/2012 ,213.92
Q3/2012 ,225.82
Q4/2012 ,233.17
Q1/2013 r,231.2
Q2/2013 r,219.95
Q3/2013 r,213.58
Q4/2013 r,214.57
Q1/2014 r,210.59
Q2/2014 r,203.13
Q3/2014 r,203.26
Q4/2014 r,211.34
Q1/2015 ,205.85
Q2/2015 ,200.01
Q3/2015 ,202.94
Q4/2015 ,219.49
Q1/2016 ,213.26
11-Jun-05,-
12-Jun-05,-
13-Jun-05,-
14-Jun-05,-
15-Jun-05,-
16-Jun-05,-
17-Jun-05,70.2
18-Jun-05,77
19-Jun-05,77.2
20-Jun-05,49.32
21-Jun-05,64.24
22-Jun-05,67.46
23-Jun-05,86.07
24-Jun-05,100
25-Jun-05,115.11
26-Jun-05,135.4
27-Jun-05,148.06
28-Jun-05,154.94
29-Jun-05,157.53
30-Jun-05,163.22
1-Jul-05,152.79
2-Jul-05,178.9
3-Jul-05,186.3
4-Jul-05,220.78
2013 r,219.83
2014 r,207.08
7-Jul-05,207.07